url,slokenumber,text
https://www.valmikiramayan.net/utf8/ayodhya/sarga119/ayodhyasans119.htm,[],"Hearing that great story, Anasuya the knower of piety kissed Seetha's forehead and hugged her in her arms."
https://www.valmikiramayan.net/utf8/ayodhya/sarga119/ayodhyasans119.htm,[],"""It was narrated sweetly and amazingly by you, in clear words and syllables. It has been indeed heard by me how all that Svayamvara, the process of self-choosing marriage took place. O, the sweet speaking Seetha! I am overjoyed by hearing your story."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga119/ayodhyasans119.htm,[],"""O, Fortunate One! While the auspicious night drawing near, the sun has sunk below horizon. The twittering of the birds can be heard, who, through the day, have sought their nourishment far and wide and are seeking their shelter for sleep at the time of evening-twilight."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga119/ayodhyasans119.htm,[],"""These ascetics too are returning together, their bark-robes drenched from bathing, and with uplifted vessels, wet with sprinkled water on them."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga119/ayodhyasans119.htm,[],"""From the sacred fire kindled by the sages, according to the scriptural ordinance, a column of smoke with the hue of a Pigeon's neck, raised by the wind, is seen there."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga119/ayodhyasans119.htm,[],"""Thought their foliage is sparse, the trees look dense all around. The quarters of the world, by whom the senses are drawn apart, do not shine brilliantly at this place."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga119/ayodhyasans119.htm,[],"""The animals who wander about at night are ranging everywhere. The deer of the hermitage are sleeping round the sacred altars."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga119/ayodhyasans119.htm,[],"""O, Seetha! The night richly adorned with stars has set well in motion. The moon encircled with light is seen rising in the sky."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga119/ayodhyasans119.htm,[],"""Go now. I give you leave. Be a female companion to Rama. Your sweet conversation has charmed me."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga119/ayodhyasans119.htm,[],"""O, Seetha! O, Dear child! Adorn (with ornaments and apparel gifted by me_ before my eyes and cause delight to me in embellishing yourself with heavenly jewels."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga119/ayodhyasans119.htm,[],"Then Seetha, adorning herself, resembled the daughter of a god, and making obeisance to the feet of Anasuya, she went forward to meet Rama."
https://www.valmikiramayan.net/utf8/ayodhya/sarga119/ayodhyasans119.htm,[],"Rama, the most eloquent one, saw Seetha adorned as aforesaid and felt delighted over the charming gifts of the ascetic."
https://www.valmikiramayan.net/utf8/ayodhya/sarga119/ayodhyasans119.htm,[],"Seetha, the daughter of Mithila kingdom then showed to Rama all the apparel, jewels and garlands the affectionate gifts of Anasuya the hermitess."
https://www.valmikiramayan.net/utf8/ayodhya/sarga119/ayodhyasans119.htm,[],"Seeing the respectful treatment, received by Seetha, which was very rare among human beings, Rama and Lakshmana the great car-warrior felt highly rejoiced."
https://www.valmikiramayan.net/utf8/ayodhya/sarga119/ayodhyasans119.htm,[],"Thereupon, Rama with his face resembling the moon, having been honoured by the holy ascetics, was delighted and spent that auspicious night there."
https://www.valmikiramayan.net/utf8/ayodhya/sarga119/ayodhyasans119.htm,[],"While that night passed away, Rama and Lakshmana the tigers among men finished their ablutions and took leave of the ascetics dwelling the forest, who had just poured oblations into the sacred fire."
https://www.valmikiramayan.net/utf8/ayodhya/sarga119/ayodhyasans119.htm,[],"Those ascetics dwelling in the forest and practising virtue told Rama and Lakshmana about the region of that forest, which was infested with demons (as follows):"
https://www.valmikiramayan.net/utf8/ayodhya/sarga119/ayodhyasans119.htm,[],"""O, Rama! Various forms of man-eating demons and beasts drinking the blood are living in this great forest."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga119/ayodhyasans119.htm,[],"""O, Rama! They devour an ascetic or a celibate, who has not rinsed his mouth after finishing his meal or who is inattentive in this great forest. (Pray ward them off!"""
https://www.valmikiramayan.net/utf8/ayodhya/sarga119/ayodhyasans119.htm,[],"""O, Rama! Here is the path of the great sages, through which they fetch the fruits in this forest. It is appropriate for you to go by this path in this dangerous forest."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga119/ayodhyasans119.htm,[],"Thus addressed by those Brahmanas having great asceticism, who, with joined palms paid obedience to him and blessed his journey, Rama the harasser of his foes entered the forest with his consort along with Lakshmana, as sun enters a mass of clouds."
