url,slokenumber,text
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-1'],"Thus, Vali who is hit down by arrow and who is collapsing humbly spoke exacting words that contained  probity, meaningfulness, and expedience, to Rama. [4-18-1]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,"['4-18-3', ' 4']","Then to him who is rendered like a lusterless sun, fizzling out like a cloud that released its water,  and who became like a quenched fire, to such a best monkey and an unexcelled lord of monkeys who has  just now imputed Rama with words that are abounding with righteousness and meaningfulness, Rama spoke  subsequently. [4-18-3, 4]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-4'],"""Uncaring for probity, prosperity, pleasure deriving, and even for the social conventions, now how do  you rebuke me childishly in this matter? [4-18-4]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-5'],"""Unconsulted are the doyens of your race that are intellectually well off and agreeable to your mentors  about rights and wrongs about your deeds, oh, gentle one, how do you wish to debate with me in this  matter with your primate's caprice. [4-18-5]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-6'],"""This earth with its mountains, woods, and forests, even along with the authority to condone or condemn  the animals, birds, and humans on it belongs to Ikshvaku-s. [4-18-6]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-7'],"""He who is virtue-souled, truth-abiding, plain-speaking, and the knower of the import of probity, pleasures,  and prosperity, and the one who is concerned in controlling or condoning his subjects, that Bharata  is the ruler of earth. [4-18-7]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-8'],"""In whom both scrupulousness and benignancy are there, truthfulness is firmed up, and valour as evinced  by scriptures is evident, and he who is the knower of time and place is the king, namely Bharata. [4-18-8]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-9'],"""Holding his virtuous decree desiring to keep up the continuum of righteousness, we and some other kings  are wayfaring this earth in its entirety. [4-18-9]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-10'],"""While that Bharata, the kingly-tiger and a patron of virtue, is ruling the earth in its entirety, who  is there to conduct himself in an unacceptable way to morality on it? [4-18-10]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-11'],"""Abiding in our own pre-eminent righteousness, and even abiding by the order of Bharata we punish him  who deviated from the path of morality, according to custom. [4-18-11]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-12'],"""As for you, you brought virtue to a state of decadence, rendered yourself reprovable by your own decadent  behaviour, for carnality alone has become your primary doctrine, and thus you have not abided by the  conduct meetly to a king. [4-18-12]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-13'],"""It is to be known by him who treads the way of righteousness that he has three fatherly personages,  namely his own father, his elder brother, and the one who accords education to him. [4-18-13]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-14'],"""An younger brother, a son, and a disciple with good characteristics, these three are to be deemed as  one's own sons, for such matters take base on rectitude alone. [4-18-14]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-15'],"""The probity practised by principled people is very subtle and highly imponderable, and the soul that  abides in the hearts of all beings alone can differentiate between just and unjust. [4-18-15]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-16'],"""Like a blind by birth counselling with similarly blind, you being a vacillant, on your counselling  only with frantic minded vacillant monkeys, what can you really fathom about right and wrong? [4-18-16]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-17'],"""I will clarify about the words I have said, but I tell you that it is indeed inapt of you to disdain  me just out of your outrage. [4-18-17]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-18'],"""Realise this reason by which I have eliminated you... you misbehaved with your brother's wife, forsaking  the perpetual tradition. [4-18-18]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-19'],"""While the great-souled Sugreeva is still alive, you with your habit of sinful acts have lustily misbehaved  with Sugreeva's wife Ruma, who should be counted as your daughter-in-law. [4-18-19]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-20'],"""Thereby, oh, vanara, this punishment is imposed on you, for your dissolute sinning in abusing your  brother's wife, thereby for your transgression of tradition and virtue. [4-18-20]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-21'],"""I foresee no other kind of control other than punishment to him who conducts himself contrary to the  society and who is deviant of conventions. [4-18-21]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,"['4-18-22', ' 23a']","""As a Kshatriya emerged from a best dynasty I do not tolerate your wrongdoing, and the punishment to  the one who lustfully indulges with his daughter, or with his sister, or with the wife of his younger  brother is his elimination, as recalled from scriptures. [4-18-22, 23a]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,"['4-18-23b', ' 24a']","While Bharata is the lord of land and we are his proxies adhering to his orders, and while you too have  overstepped the bounds of rightness, then how is it possible to be lenient? [4-18-23b, 24a]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,"['4-18-24b', ' 25a']","""While ruling righteously sensible Bharata punishes him who oversteps the momentous virtue, and he is  poised to put down lustful ones. [4-18-24b, 25a]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,"['4-18-25b', ' c']","""As for us, oh, monkey's lord, we effectuate our brother's orders and our duty, and we stand for curbing  your kind of shatterers of ethics. [4-18-25b, c]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-26'],"""My association with Sugreeva is as good as that with Lakshmana, nevertheless it betided with an understanding  to regain Sugreeva's wife and kingdom, and he will give succour to me. [4-18-26]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-27'],"""I gave a promise to Sugreeva at the time of befriending him in the presence of vanara-s, and how is  it possible for my kind to dishonour a given promise? [4-18-27]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-28'],"""Thereby you have to infer that a befitting punishment is given to you, owing to all these great reasons  that abound with virtue and with supreme value. [4-18-28]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-29'],"""Anywise, you have to regard the punishment given to you is legitimate, and he whom rectitude guides  has to render assistance to his friend, in any event. [4-18-29]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-30'],"""Had you pursued rightness you too would have done the same deed in imposing such a punishment, and  we hear two verses that are given to the advocacy of good conventions, which the experts of rightness  have also accepted, and which are said to be coined by Manu, and I too conducted myself only as detailed  in those verses of law. [4-18-30]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-31'],""" 'When kings impose proper punishment on the humans who have sinned, they become sinless and enter  heaven as with the pious souls with good deeds.' So says one verse of Manu. [4-18-31]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-32'],""" 'Either by punishment or by clemency a thief will be absolved from sin, but the king who does not  impose proper punishment will derive the blot of that sin.' So says the other verse of Manu. [4-18-32]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-33'],"""When a renouncer has committed sin like that of the one committed by you, my venerable ancestor Maandhaata  has given punishment which he desired. [4-18-33]"
https://www.valmikiramayan.net/utf8/kish/sarga18/kishkindhasans18.htm,['4-18-34'],"""Such sin is acquired even by other kings who are unobservant in imposing proper punishment, and those  kings had to make amends for it at appropriate time, by that propitiation they used to mitigate that  filth of that sin. [4-18-34]"
