url,slokenumber,text
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-1'],"On overseeing the crestfallen monkey-soldiery, which is with many hundreds and thousands of soldiers, then Jambavanta sad this way to Hanuma. [4-66-1]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-2'],"""Oh, valiant one in the world of vanara-s, being an erudite scholar among all the scriptural scholars, Hanuma, why do not you mumble something, why do you resort to a calmly loneliness... [4-66-2]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-3'],"""By your brilliance and brawn, oh, Hanuma, you match up to king of monkeys Sugreeva, or even to Rama and Lakshmana, as well... [4-66-3]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-4'],"""The son of Kashyapa Prajapati and Lady Vinata is the best bird among all the birds who is superbly mighty and who is universally renowned as Garuda... [4-66-4]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-5'],"""Iindeed, I have oftentimes seen that highly glorious, rapidly speedy, great mighty bird Garuda, pecking up reptiles from ocean... [4-66-5]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-6'],"""Whatever is the strength of his wings, that much is the strength of you arms, and even by the yardsticks of his dash and dare, yours too, are unreprovable... [4-66-6]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-7'],"""Oh, forthright monkey, you are the finest among all beings by the dint of your force, faculty, flair, and fortitude... why then is your unreadiness in this task of leaping ocean... [4-66-7]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-8'],"""Punjikasthala yclept Anjana is the nicest apsara among all apsara-s and she is the wife of Kesari, the monkey... [4-66-8]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-9'],"""She who is distinguished for her unparalleled mien in the three worlds, oh, dear boy Hanuma, had to take a rebirth on earth as a monkey who can change her form by her wish, owing to a curse... [4-66-9]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,"['4-66-10', ' 11']","""She who took birth as the daughter of great souled monkey chief Kunjara, on assuming a human physique, putting on caparisons of amazing garlands, dressed in silken clothing, and shining forth with rarity of her beauty and nubility, at one time ambled on the top of a mountain like a streak of lightning athwart a black-cloud of rainy season. [4-66-10, 11]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-12'],"""When she is strolling on the mountaintop Air-god has slowly lifted up that broad-eyed lady's auspicious and ochry silk apparel with red rouches... [4-66-12]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-13'],"""Then the Air-god beheld her well-twinned, thickset, roundish thighs, and even the paired off plumpish breasts, and her beautiful face which is well proportioned in its build... [4-66-13]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-14'],"""Just on catching the sight of that gorgeous one, whose pelvic-girdle is fat and ample and who is slender-waisted, and who by all her limbs is pristine, the Air-god is enamoured... [4-66-14]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-15'],"""He that Air-god who is ensorcelled by Love-god in all of his limbs, though he is limbless and existing in thin air, embraced that immaculate lady with both of his far-flung arms, as he lost his heart for her... [4-66-15]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-16'],"""But she that conscientious lady perplexedly said this sentence in that matter of invisible hugging, 'who wishes to despoil my vow of one-man-one-wife...' [4-66-16]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-17'],"""On listening the words of Anjana the Air-god spoke this in reply, 'oh, high-hipped one, I don't dishonour you, hence let there be no fear in your heart, for I am the all-permeating Air-god... [4-66-17]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-18'],""" 'By which reason I embraced you and impregnate myself within you, by that reason you are impregnated in a supersensory manner, thereby you will beget a valiant son endowed with intellect... [4-66-18]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-19'],""" 'An admirably brave, and a bravely dazzling, and a dazzlingly forceful, and a forcefully overpowering son will be there, also thus, he will be a coequal of mine in flying off and jumping up...' Thus, the Air-god said to Anjana. [4-66-19]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-20'],"""Oh, arcane monkey Hanuma, when Air-god said so to her, oh, ambidextrous one, your mother is gratified, and then, oh, bullish fly-jumpers, your mother very well divined you in a cave... [4-66-20]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-21'],"""Thereafter, when you were a boy you have see the just risen sun in the vast of forest, and deeming it to be a just ripen reddish fruit, and thinking it to be a best catch, you hopped up and flew towards sun on the sky... [4-66-21]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-22'],"""Even on your flying up three hundred yojana-s, oh, brave monkey, and even when sun's radiation puffed and blown you down, you did not get into any anguish as were indefatigable... [4-66-22]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-23'],"""Oh, mighty monkey, even on seeing you who are coming near the vault of heaven, Indra is captivated by anger and by his effulgence he catapulted his Thunderbolt at you... [4-66-23]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-24'],"""Then, your left cheekbone, zygomatic arch, is broken when you fell down on a highest mountaintop, from thereupon your name-phrase is indeed averred as <font color=""#B3003A"">Hanumaan</font>... [4-66-24]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-25'],"""Then on observing that you are mutilated, highly infuriated is that scent-wafter Air-god and that tempestuous Air-god has not physically circulated throughout the triad of worlds... [4-66-25]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-26'],"""When the triad of worlds is being roiled with breathlessness, all the administrative gods of universe are bewildered, and they started to supplicate the Air-god for his grace... [4-66-26]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-27'],"""Oh, chivalric warrior at war, while the Air-god is being supplicated, oh, dear boy, Brahma gave you a boon decreeing your 'indestructibility by any missile...' [4-66-27]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,"['4-66-28', ' 29a']","""On scrutinising that you are unhurt even after hit by Thunderbolt, oh, ablest Hanuma, the Thousand-eyed Indra kind-heartedly gave you a choicest boon saying that your death occurs only by your own volition... [4-66-28, 29a]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,"['4-66-29b', ' 30']","""Such as you are, you are Kesari's son through his wife, oh, frightful pugilist, and you are the lineal son of Air-god, and even by your gusting you are selfsame to Air-god, and even by your flying also you are his selfsame to Air-god, in all respects... [4-66-29b, 30]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-31'],"""Presently we are as good as dead, and among us presently you are the only one rife with competence and valiance, you are the other Sugreeva, the king of monkeys, to us... [4-66-31]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-32'],"""During the period of Trivikrama incarnation I have circumambulated the earth inclusive of its mountains, forests and thickets for twenty-one times, moving rightward around it... [4-66-32]"
