url,slokenumber,text
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],Ravana listening to Seetha's words which were harsh thereafter replied to Seetha unpleasant words  which are seen to be pleasant.
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"""In whatever way gentle language is used to women in that way they will be under control. In whatever  way men speak dear words, in that way they will be rejected."""
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"""In your matter desire which has risen up is subdueing my anger like horses running obtaining a  bad path being subdued by a good charioteer."""
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"""Desire of men is unfavourable. In which man desire is tied up, in that man there is compassion  and fondness."""
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"""O one with a beautiful face! For this reason although you are suitable to be killed and suitable  to be humilaited, interested in Rama who is in sham exile, I am not killing you."""
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"""O Seetha! Here whatever harsh words you are speaking about me, because of those words, you are  suitable to be horribly slayed."""
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"The king of ogres Ravana speaking thus to Seetha, full of anger and fury spoke subsequent word  to Seetha."
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"""O Seetha with best complexion! Whatever limit has been made by me to you, those two months are  protectable to me. Thereafter ascend my bed."""
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],Seeing Seetha being frightened by Ravana those Deva and Gandharva maidens grieved with troubled  eyes.
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],Some in the way of lips and in like manner some others with faces and eyes consoled that Seetha  frightened by that ogre.
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],Consoled by them Seetha proud of virtuous conduct spoke words beneficial to self to the king of  ogres Ravana.
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"""Whoever prevents you from these actions which are blameable, such a person interested in your  welfare there is none. This is definite."""
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"""In all the three worlds except you who even by heart will desire me who am the wife of virtuous  Rama like Sachi the wife of Indra."""
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"""O vile ogre! Whatever sinful word you spoke to me who is the wife of the great resplendent Rama,  from that word where will you go to be released?"""
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"""Like an elephant in rut and a hare at war in the forest, in the same way O vile one! Rama is like  an elephant and you are said to be like a hare."""
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"""Such you are not shameful abusing the lord of Ikshvaku dynasty Rama. You are not getting Rama's  matter so much."""
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"""O ignoble one! your these eyes which are cruel, crooked, which are black and reddish brown, which  are seeing me, for what reason are they not falling down."""
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"""Thus speaking about me who am the wife of virtuous Rama and the daughter-in-law of Dasaratha how  your tongue did not fall off."""
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"""O Ravana! Although you are suited to be burnt into ashes, not having the mandate of Rama and preserving  austerity, I am not reducing you into ashes with my glory."""
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"""Wise Rama's I am not capable of being abducted by you. This act has been made for your slaying.  In this there is no doubt."""
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"""By you who is strong, brother of Kubera possessed of army, removing Rama for what reason abduction  of wife has been done."""
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"Ravana was qual to a black cloud, with big shoulders and neck with the strength and gait of a lion,  glorious with radiant tip of tongue and eyes."
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"He was tall with moving front portion of crown, with excellent garlands and anointments, wearing  red garlands and clothes, with ornaments made of refined gold."
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],Equalling a mountain the king of ogres shone with those perfect shoulders like Mount Mandara with  its peaks.
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"With the color of just risen sun, decorated by earrings, he was like a mountain with Ashoka trees  with red flowers and shoots."
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],Equalling a Kalpavriksha he was like the embodiment of spring season. Like a funeral mound in a  grave-yard was horrible even though decorated.
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"O foloower of Rama posessing bad conduct, without wealth! Now I will destroy you like sun destroying  morning twilight with light."
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"The king Ravana who causes enemies to cry thus speaking to Seetha, thereafter ordered all ogre  women with horrible appearances."
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"Ravana ordered one with a single eye, one with a single ear and one with ears as covering, one  with cow's wars, one with ears of an elephant, one with dangling ears, one without ears and one with the feet  of an elephant and one with the feet of a horse, one with feet of a cow,one with hair over feet, one with a single  eye and one with a single foot, one with big feet, one without feet, one with a big head and neck,one with big  breasts and stomach, and one with big mouth and eyes, one with a long tongue, one without tongue, one without  nose, one with the face of a lion, one with the face of a cow,one with the face of a pig."
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"""O ogres! How the daughter of Janaka, Seetha becomes under my control quickly, thus all of you  together do that task."""
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"""With hostile and favourable tasks, with kind words, with gifts and dividing words and exertion  of punishment, bring Seetha under my possession."""
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"""O king! Sport with me. O lord of ogres! Of what use to you is this Seetha who is colorless and  a wreched human."""
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"""O king! Lord Barhma did not assign to Her wonderful best luxuries earned by the might of your  arms. This is definite."""
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"""The body of one who desires a woman without desire suffers pain. Good happiness will occur to  one who loves a woman who desires him."""
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"Thus spoken to by that ogre that Ravana who was strong equalling a cloud, thereafter being taken  away turned back laughing."""
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],That Ravana departing was as though shaking the earth and entered his house with the lustre of  blazing sun shine.
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],Deva and Gandharva maidens and Naga maidens surrounding Ravana in all directions entered that best  among houses.
https://www.valmikiramayan.net/utf8/sundara/sarga22/sundarasans22.htm,[],"That Ravana frightening Seetha who was steadfastly intent on virtue and who was shaking, leaving  Seetha, infatuated by love, entered his own house which was shining."
